cat,x,y,group
well-85,65624.99889113764,87874.99621468893,P
well-86,64374.99865308885,89124.99764359127,P
well-87,63124.99722449129,90374.99669109128,P
well-88,65624.99889113764,90374.99669109128,P
well-89,58124.99865308885,87874.99621468893,P
well-90,60624.99793894247,87874.99621468893,P
well-91,59374.99770058888,89124.99764359127,P
well-92,58124.99865308885,90374.99669109128,P
well-93,60624.99793894247,90374.99669109128,P
well-94,59374.99770058888,91624.9969291401,P
well-95,58124.99865308885,92874.99716718888,P
well-96,60624.99793894247,92874.99716718888,P
well-97,53124.99770058888,87874.99621468893,P
well-98,55624.99817699126,87874.99621468893,P
well-99,54374.99912949123,89124.99764359127,P
well-100,53124.99770058888,90374.99669109128,P
well-101,55624.99817699126,90374.99669109128,P
well-102,53124.99770058888,92874.99716718888,P
well-103,55624.99817699126,92874.99716718888,P
well-104,54374.99912949123,94124.99621468892,P
well-105,46874.99770058888,71624.99788164007,P
well-106,44374.998415040056,71624.99788164007,P
well-107,48124.99912949123,87874.99621468893,P
well-108,50624.998415040056,87874.99621468893,P
well-109,49374.99817699126,89124.99764359127,P
well-110,48124.99912949123,90374.99669109128,P
well-111,50624.998415040056,90374.99669109128,P
well-112,49374.99817699126,91624.9969291401,P
well-113,48124.99912949123,92874.99716718888,P
well-114,50624.998415040056,92874.99716718888,P
well-115,38124.99841504005,62874.998000816864,P
well-116,40624.99889144244,62874.998000816864,P
well-117,39374.99865308885,64124.99794107607,P
well-118,38124.99841504005,65374.99788164007,P
well-119,40624.99889144244,65374.99788164007,P
well-120,39374.99865308885,66624.99811968885,P
well-121,38124.99841504005,67874.99776246327,P
well-122,40624.99889144244,67874.99776246327,P
well-123,39374.99865308885,69124.99740523768,P
well-124,41874.99853421685,69124.99740523768,P
well-125,46874.99770058888,69124.99740523768,P
well-126,41874.99853421685,66624.99811968885,P
well-127,36874.99877226564,66624.99811968885,P
well-128,33124.998950878435,70374.99764359128,P
well-129,35624.999129491225,70374.99764359128,P
well-130,34374.998891137635,71624.99788164007,P
well-131,33124.998950878435,72874.99752441447,P
well-132,35624.999129491225,72874.99752441447,P
well-133,34374.998891137635,74124.99776246327,P
well-134,33124.998950878435,75374.99859609125,P
well-135,35624.999129491225,75374.99859609125,P
well-136,33124.998950878435,62874.998000816864,P
well-137,35624.999129491225,62874.998000816864,P
well-138,34374.998891137635,64124.99794107607,P
well-139,33124.998950878435,65374.99788164007,P
well-140,35624.999129491225,65374.99788164007,P
well-141,34374.998891137635,66624.99811968885,P
well-142,33124.998950878435,67874.99776246327,P
well-143,35624.999129491225,67874.99776246327,P
well-144,36874.99877226564,69124.99740523768,P
well-145,36874.99877226564,71624.99788164007,P
well-146,36874.99877226564,74124.99776246327,P
well-147,41874.99853421685,74124.99776246327,P
well-148,41874.99853421685,71624.99788164007,P
well-149,34374.998891137635,76624.99764359128,P
well-150,35624.999129491225,77874.9966910913,P
well-151,36874.99877226564,76624.99764359128,P
well-152,38124.99841504005,77874.9966910913,P
well-153,39374.99865308885,76624.99764359128,P
well-154,40624.99889144244,77874.9966910913,P
well-155,41874.99853421685,76624.99764359128,P
well-156,36874.99877226564,79124.99811968885,P
well-157,38124.99841504005,80374.99716718889,P
well-158,39374.99865308885,79124.99811968885,P
well-159,40624.99889144244,80374.99716718889,P
well-160,41874.99853421685,79124.99811968885,P
well-161,39374.99865308885,81624.9974052377,P
well-162,41874.99853421685,81624.9974052377,P
well-163,40624.99889144244,82874.99764359127,P
well-164,41874.99853421685,84124.99669109129,P
well-165,40624.99889144244,85374.99811968887,P
well-166,41874.99853421685,86624.99716718889,P
well-167,44374.998415040056,86624.99716718889,P
well-168,43124.99817699126,87874.99621468893,P
well-169,46874.99770058888,74124.99776246327,P
well-170,46874.99770058888,76624.99764359128,P
well-171,44374.998415040056,79124.99811968885,P
well-172,46874.99770058888,79124.99811968885,P
well-173,49374.99817699126,79124.99811968885,P
well-174,51874.99865308885,79124.99811968885,P
well-175,54374.99912949123,79124.99811968885,P
well-176,56874.99722449129,81624.9974052377,P
well-177,51874.99865308885,81624.9974052377,P
well-178,46874.99770058888,81624.9974052377,P
well-179,46874.99770058888,84124.99669109129,P
well-180,56874.99722449129,84124.99669109129,P
well-181,61874.99817699126,86624.99716718889,P
well-182,59374.99770058888,86624.99716718889,P
well-183,56874.99722449129,86624.99716718889,P
well-184,54374.99912949123,86624.99716718889,P
well-185,51874.99865308885,86624.99716718889,P
well-186,49374.99817699126,86624.99716718889,P
well-187,46874.99770058888,86624.99716718889,P
well-188,45624.99865308885,87874.99621468893,P
well-189,56874.99722449129,79124.99811968885,P
well-190,51874.99865308885,76624.99764359128,P
well-191,56874.99722449129,76624.99764359128,P
well-192,51874.99865308885,74124.99776246327,P
well-193,56874.99722449129,74124.99776246327,P
well-194,51874.99865308885,71624.99788164007,P
well-195,56874.99722449129,71624.99788164007,P
well-196,51874.99865308885,69124.99740523768,P
well-197,53124.99770058888,70374.99764359128,P
well-198,54374.99912949123,69124.99740523768,P
well-199,55624.99817699126,70374.99764359128,P
well-200,56874.99722449129,69124.99740523768,P
well-201,51874.99865308885,66624.99811968885,P
well-202,53124.99770058888,67874.99776246327,P
well-203,54374.99912949123,66624.99811968885,P
well-204,55624.99817699126,67874.99776246327,P
well-205,56874.99722449129,66624.99811968885,P
well-206,51874.99865308885,64124.99794107607,P
well-207,53124.99770058888,65374.99788164007,P
well-208,54374.99912949123,64124.99794107607,P
well-209,31874.99901031443,64124.99794107607,P
well-210,36874.99877226564,64124.99794107607,P
well-211,41874.99853421685,64124.99794107607,P
well-212,44374.998415040056,64124.99794107607,P
well-213,46874.99770058888,64124.99794107607,P
well-214,49374.99817699126,64124.99794107607,P
well-215,53124.99770058888,62874.998000816864,P
well-216,50624.998415040056,62874.998000816864,P
well-217,48124.99912949123,62874.998000816864,P
well-218,45624.99865308885,62874.998000816864,P
well-219,43124.99817699126,62874.998000816864,P
well-220,31874.99901031443,61624.99806025287,P
well-221,34374.998891137635,61624.99806025287,P
well-222,36874.99877226564,61624.99806025287,P
well-223,39374.99865308885,61624.99806025287,P
well-224,41874.99853421685,61624.99806025287,P
well-225,44374.998415040056,61624.99806025287,P
well-226,46874.99770058888,61624.99806025287,P
well-227,49374.99817699126,61624.99806025287,P
well-228,51874.99865308885,61624.99806025287,P
well-229,33124.998950878435,60374.99811968886,P
well-230,35624.999129491225,60374.99811968886,P
well-231,38124.99841504005,60374.99811968886,P
well-232,40624.99889144244,60374.99811968886,P
well-233,43124.99817699126,60374.99811968886,P
well-234,45624.99865308885,60374.99811968886,P
well-235,48124.99912949123,60374.99811968886,P
well-236,44374.998415040056,59124.99803038246,P
well-237,41874.99853421685,59124.99803038246,P
well-238,39374.99865308885,59124.99803038246,P
well-239,36874.99877226564,59124.99803038246,P
well-240,34374.998891137635,59124.99803038246,P
well-241,35624.999129491225,57874.99809012326,P
well-242,38124.99841504005,57874.99809012326,P
well-243,40624.99889144244,57874.99809012326,P
well-244,44374.998415040056,89124.99764359127,P
well-245,46874.99770058888,89124.99764359127,P
well-246,51874.99865308885,89124.99764359127,P
well-247,56874.99722449129,89124.99764359127,P
well-248,51874.99865308885,91624.9969291401,P
